Designator,Mid X,Mid Y,Rotation,Layer
D1,63.0,-53.09,270.0,bottom
D10,99.0,-55.923329,270.0,bottom
D11,117.0,-53.089996,270.0,bottom
D12,135.0,-61.59,270.0,bottom
D13,153.0,-70.089994,270.0,bottom
D14,150.0,-123.923319,270.0,bottom
D15,63.0,-87.09,270.0,bottom
D16,81.0,-84.256661,270.0,bottom
D17,99.0,-72.923329,270.0,bottom
D18,117.0,-70.09,270.0,bottom
D19,135.0,-78.59,270.0,bottom
D2,81.0,-50.256661,270.0,bottom
D20,153.0,-87.09,270.0,bottom
D21,155.662179,-122.318629,310.0,bottom
D22,63.0,-104.09,270.0,bottom
D23,81.0,-101.256661,270.0,bottom
D24,99.0,-90.165,270.0,bottom
D25,117.0,-87.089996,270.0,bottom
D26,135.0,-95.589994,270.0,bottom
D27,153.0,-104.09,270.0,bottom
D28,169.450979,-133.888806,310.0,bottom
D3,99.0,-38.923329,270.0,bottom
D4,117.0,-36.089996,270.0,bottom
D5,135.0,-44.59,270.0,bottom
D6,153.0,-53.089994,270.0,bottom
D7,132.0,-115.423319,270.0,bottom
D8,63.0,-70.09,270.0,bottom
D9,81.0,-67.256661,270.0,bottom
S1,54.0,-59.5655,0.0,top
S10,90.0,-62.398829,0.0,top
S11,108.0,-59.565496,0.0,top
S12,126.0,-68.065495,0.0,top
S13,144.0,-76.565494,0.0,top
S14,141.0,-130.398819,0.0,top
S15,54.0,-93.5655,0.0,top
S16,72.0,-90.732161,0.0,top
S17,90.0,-79.398829,0.0,top
S18,108.0,-76.565496,0.0,top
S19,126.0,-85.065495,0.0,top
S2,72.0,-56.732161,0.0,top
S20,144.0,-93.565494,0.0,top
S21,161.537267,-129.361291,320.0,top
S22,54.0,-110.5655,0.0,top
S23,72.0,-107.732161,0.0,top
S24,90.0,-96.398829,0.0,top
S25,108.0,-93.565496,0.0,top
S26,126.0,-102.065495,0.0,top
S27,144.0,-110.565494,0.0,top
S28,173.504826,-143.101937,320.0,top
S3,90.0,-45.398829,0.0,top
S4,108.0,-42.565496,0.0,top
S5,126.0,-51.065495,0.0,top
S6,144.0,-59.565494,0.0,top
S7,123.0,-121.89882,0.0,top
S8,54.0,-76.5655,0.0,top
S9,72.0,-73.732161,0.0,top
SW1,162.0,-110.5,0.0,top
U1,164.25,-102.0,270.0,top
U2,162.87,-81.7625,0.0,top
